id,title,description,category,tags,price_min,price_max,amazon_url,image_url,locale,active
prod-25,Knife Set,Professional chef knife set with wooden block,Cooking|Home,cooking|kitchen|chef|housewarming|wedding|anniversary,70,150,,,US,true
prod-26,Air Fryer,Digital air fryer with 8 preset cooking functions,Cooking|Electronics,cooking|kitchen|healthy|appliance|housewarming|wedding,60,120,,,US,true
prod-27,Espresso Machine,Manual espresso maker with milk frother,Cooking|Home,coffee|cooking|kitchen|housewarming|coffee lover,80,180,,,US,true
prod-28,Spice Rack Set,Rotating spice rack with 20 glass jars,Cooking|Home,cooking|kitchen|organization|housewarming|25-34,25,45,,,US,true
prod-29,Cookbook,Bestselling cookbook with 200+ recipes,Cooking|Books,cooking|reading|food|housewarming|birthday,20,35,,,US,true
prod-30,Dutch Oven,Enameled cast iron Dutch oven 6-quart,Cooking|Home,cooking|baking|kitchen|housewarming|wedding,60,120,,,US,true
prod-31,Wine Aerator,Electric wine aerator and dispenser,Cooking|Gifts,wine|cooking|entertaining|anniversary|partner,30,55,,,US,true
prod-32,Mixing Bowl Set,Stainless steel mixing bowls 5-piece set,Cooking|Home,cooking|baking|kitchen|housewarming|practical,25,40,,,US,true
prod-33,Kitchen Scale,Digital kitchen scale with nutritional calculator,Cooking|Home,cooking|baking|healthy|fitness|housewarming,20,35,,,US,true
prod-34,Yoga Mat,Extra-thick non-slip yoga mat with carrying strap,Fitness|Wellness,yoga|fitness|wellness|exercise|25-34|birthday|health,25,50,,,US,true
prod-35,Resistance Bands Set,Fitness resistance bands 5-piece set with bag,Fitness,fitness|exercise|gym|home workout|25-34|health,15,30,,,US,true
prod-36,Foam Roller,High-density foam roller for muscle recovery,Fitness|Wellness,fitness|recovery|massage|gym|25-34|35-44|athlete,20,40,,,US,true
prod-37,Smart Water Bottle,Insulated water bottle with time marker,Fitness|Wellness,fitness|hydration|gym|health|18-24|25-34|practical,20,35,,,US,true
prod-38,Fitness Tracker,Activity and sleep tracker with heart rate monitor,Electronics|Fitness,fitness|health|tech|tracker|25-34|birthday|wellness,50,100,,,US,true
prod-39,Dumbbells Set,Adjustable dumbbells 5-25 lbs per hand,Fitness,fitness|gym|strength|home workout|25-34|35-44,60,120,,,US,true
prod-40,Jump Rope,Speed jump rope with counter and weighted handles,Fitness,fitness|cardio|exercise|18-24|25-34|gym,12,25,,,US,true
prod-41,Massage Gun,Percussion massage gun for muscle recovery,Fitness|Wellness,fitness|massage|recovery|wellness|athlete|35-44,80,150,,,US,true
prod-42,Hiking Backpack,40L hiking backpack with rain cover,Outdoors|Travel,hiking|outdoor|travel|adventure|25-34|backpacking,50,100,,,US,true
prod-43,Camping Hammock,Lightweight portable hammock with tree straps,Outdoors,camping|outdoor|relaxation|travel|18-24|25-34|summer,30,55,,,US,true
prod-44,Travel Backpack,Anti-theft travel backpack with USB charging port,Travel,travel|practical|tech|student|25-34|graduation,40,75,,,US,true
prod-45,Insulated Tumbler,Stainless steel vacuum tumbler 30oz,Outdoors|Travel,travel|coffee|practical|outdoor|25-34|coworker,20,35,,,US,true
prod-46,Portable Camping Stove,Compact camping stove with fuel canister,Outdoors,camping|outdoor|cooking|adventure|25-34|backpacking,25,45,,,US,true
prod-47,Headlamp,Rechargeable LED headlamp for camping and running,Outdoors|Fitness,outdoor|camping|running|practical|25-34|adventure,18,35,,,US,true
prod-48,Picnic Blanket,Waterproof outdoor picnic blanket extra large,Outdoors,outdoor|picnic|beach|summer|family|25-34,25,45,,,US,true
prod-49,Binoculars,Compact binoculars for bird watching and travel,Outdoors,outdoor|birdwatching|travel|nature|35-44|45-54,40,80,,,US,true
prod-50,Throw Pillows Set,Decorative throw pillows 2-pack with covers,Home,home|decor|cozy|housewarming|25-34,25,45,,,US,true
prod-51,Picture Frames Set,Gallery wall picture frames 7-piece set,Home|Gifts,home|decor|photos|memory|housewarming|wedding,30,55,,,US,true
prod-52,Wall Clock,Modern minimalist wall clock 12-inch,Home,home|decor|practical|housewarming|office,20,40,,,US,true
prod-53,Candle Set,Scented soy candles gift set 3-pack,Home|Gifts,home|relaxation|aromatherapy|cozy|thank-you|birthday,20,35,,,US,true
prod-54,Throw Blanket,Ultra-soft fleece throw blanket,Home|Comfort,home|cozy|comfort|winter|housewarming|birthday,25,50,,,US,true
prod-55,Plant Pot Set,Ceramic planter pots with drainage 3-pack,Home|Garden,home|plants|garden|decor|housewarming,20,35,,,US,true
prod-56,Essential Oil Diffuser,Ultrasonic aromatherapy diffuser with LED lights,Home|Wellness,home|aromatherapy|wellness|relaxation|housewarming,25,45,,,US,true
prod-57,String Lights,LED string lights for bedroom or outdoor,Home|Outdoors,home|decor|lighting|cozy|housewarming|18-24,15,30,,,US,true
prod-58,Doormat,Personalized welcome doormat coir fiber,Home,home|housewarming|practical|decor,20,35,,,US,true
prod-59,Bedside Lamp,Touch control table lamp with USB charging port,Home|Electronics,home|lighting|bedroom|practical|housewarming,25,45,,,US,true
prod-60,Desk Organizer,Bamboo desk organizer with phone holder,Office|Home,office|organization|desk|work|coworker|graduation,20,35,,,US,true
prod-61,Notebook Set,Hardcover journal notebook 3-pack,Office|Gifts,office|writing|journal|student|coworker|thank-you,15,28,,,US,true
prod-62,Pen Set,Luxury ballpoint pen set in gift box,Office|Gifts,office|writing|professional|graduation|coworker,25,50,,,US,true
prod-63,Monitor Stand,Adjustable laptop and monitor stand with storage,Office|Electronics,office|desk|ergonomic|work|remote work|coworker,30,55,,,US,true
prod-64,Cable Management Kit,Desk cable organizer and cord holder set,Office|Electronics,office|organization|tech|practical|coworker,12,22,,,US,true
prod-65,Whiteboard,Magnetic dry erase board with markers,Office|Home,office|organization|planning|student|home office,20,40,,,US,true
prod-66,Bookends,Decorative metal bookends pair,Office|Home,office|home|organization|books|decor,15,30,,,US,true
prod-67,Letter Opener,Vintage brass letter opener,Office|Gifts,office|vintage|professional|executive|thank-you,12,25,,,US,true
prod-68,Kindle E-Reader,Digital e-reader with adjustable backlight,Electronics|Books,reading|tech|books|student|25-34|birthday,80,140,,,US,true
prod-69,Book Light,Rechargeable LED book reading light clip-on,Books,reading|books|practical|student|book lover,12,22,,,US,true
prod-70,Bookshelf,5-tier ladder bookshelf,Home|Books,books|home|storage|housewarming|student,50,90,,,US,true
prod-71,Bestseller Novel,Current bestselling fiction hardcover,Books,reading|books|fiction|birthday|book lover,15,28,,,US,true
prod-72,Self-Help Book,Popular self-improvement book,Books,reading|personal growth|motivation|graduation,12,25,,,US,true
prod-73,Watercolor Paint Set,Professional watercolor set with brushes,Creative|Art,art|painting|creative|hobby|18-24|birthday,25,50,,,US,true
prod-74,Sketchbook,Hardcover artist sketchbook 100 pages,Creative|Art,art|drawing|creative|student|birthday,12,22,,,US,true
prod-75,Adult Coloring Book,Intricate designs coloring book with colored pencils,Creative|Gifts,art|relaxation|stress relief|creative|25-34,15,25,,,US,true
prod-76,Calligraphy Set,Fountain pen calligraphy set for beginners,Creative|Office,art|writing|creative|hobby|25-34|birthday,20,40,,,US,true
prod-77,Craft Kit,DIY craft project kit with all materials,Creative|Gifts,creative|craft|hobby|DIY|25-34|birthday,25,45,,,US,true
prod-78,LEGO Set,Architecture or creator expert LEGO building set,Creative|Games,building|creative|hobby|display|25-34|35-44|birthday,60,150,,,US,true
prod-79,3D Pen,3D printing pen with filament refills,Creative|Electronics,tech|creative|art|hobby|18-24|birthday,30,60,,,US,true
prod-80,Coffee Sampler,Gourmet coffee beans variety pack,Food|Gifts,coffee|food|gift|coffee lover|thank-you,20,35,,,US,true
prod-81,Tea Set,Premium loose leaf tea collection gift box,Food|Gifts,tea|food|gift|relaxation|thank-you,20,40,,,US,true
prod-82,Chocolate Box,Artisan chocolate truffles gift box,Food|Gifts,chocolate|food|gift|sweet|birthday|thank-you,15,35,,,US,true
prod-83,Hot Sauce Set,Gourmet hot sauce variety pack,Food|Gifts,food|spicy|gift|cooking|birthday,18,32,,,US,true
prod-84,Whiskey Stones,Reusable whiskey chilling stones set,Food|Gifts,whiskey|drinks|gift|25-34|35-44|anniversary,15,28,,,US,true
prod-85,Wine Glasses Set,Crystal wine glasses 4-pack,Food|Home,wine|entertaining|home|housewarming|wedding,30,60,,,US,true
prod-86,Cocktail Shaker Set,Stainless steel cocktail making kit,Food|Gifts,drinks|cocktails|entertaining|25-34|birthday,25,45,,,US,true
prod-87,Cheese Board Set,Bamboo cheese board with knives,Food|Home,food|entertaining|wine|housewarming|wedding,30,55,,,US,true
prod-88,Pet Bed,Orthopedic pet bed for dogs and cats,Pets,pets|dog|cat|comfort|pet lover,30,60,,,US,true
prod-89,Pet Toy Set,Interactive pet toys variety pack,Pets,pets|dog|cat|play|pet lover,15,30,,,US,true
prod-90,Pet Grooming Kit,Professional pet grooming tools set,Pets,pets|grooming|dog|cat|pet lover,25,45,,,US,true
prod-91,Automatic Pet Feeder,Programmable automatic pet food dispenser,Pets|Electronics,pets|tech|practical|pet lover|travel,40,80,,,US,true
prod-92,Pet Camera,WiFi pet camera with treat dispenser,Pets|Electronics,pets|tech|surveillance|pet lover,60,120,,,US,true
prod-93,Baby Monitor,Video baby monitor with night vision,Baby|Electronics,baby|parents|tech|baby shower|new parent,60,120,,,US,true
prod-94,Diaper Bag,Multi-pocket baby diaper backpack,Baby,baby|practical|parents|baby shower|new parent,35,65,,,US,true
prod-95,Baby Clothes Set,Organic cotton baby onesies 5-pack,Baby,baby|clothing|practical|baby shower|new parent,20,40,,,US,true
prod-96,Baby Books Set,Board books for babies 6-pack,Baby|Books,baby|books|learning|baby shower|new parent,18,32,,,US,true
prod-97,Teething Toys,BPA-free silicone teething toys set,Baby,baby|toys|teething|baby shower|new parent,12,22,,,US,true
prod-98,Night Light,Star projector baby night light,Baby|Home,baby|sleep|lighting|baby shower|new parent,20,35,,,US,true
prod-99,Kids Building Blocks,Large building blocks set for toddlers,Kids|Games,kids|toys|building|creative|13-17|birthday,25,50,,,US,true
prod-100,Children's Book,Popular illustrated children's storybook,Kids|Books,kids|books|reading|birthday|13-17,10,20,,,US,true
prod-101,Pendant Necklace,Sterling silver pendant necklace,Jewelry,jewelry|fashion|gift|anniversary|birthday|partner,40,80,,,US,true
prod-102,Bracelet,Personalized engraved bracelet,Jewelry|Gifts,jewelry|personalized|gift|birthday|anniversary,30,60,,,US,true
prod-103,Earrings,Stud or hoop earrings set,Jewelry,jewelry|fashion|gift|birthday|partner,20,50,,,US,true
prod-104,Ring,Fashion ring with gemstone,Jewelry,jewelry|fashion|gift|birthday|anniversary,35,70,,,US,true
prod-105,Watch,Minimalist analog wristwatch,Jewelry|Fashion,jewelry|watch|fashion|birthday|graduation,50,120,,,US,true
prod-106,Skincare Set,Complete skincare routine gift set,Beauty|Gifts,beauty|skincare|self-care|birthday|partner,40,80,,,US,true
prod-107,Makeup Organizer,Acrylic makeup organizer with drawers,Beauty|Home,beauty|organization|makeup|practical|18-24,20,40,,,US,true
prod-108,Hair Styling Tool,Professional hair straightener or curling iron,Beauty|Electronics,beauty|hair|styling|birthday|25-34,40,90,,,US,true
prod-109,Fragrance Set,Luxury perfume or cologne gift set,Beauty|Gifts,beauty|fragrance|luxury|birthday|anniversary,50,120,,,US,true
prod-110,Bath Bombs Set,Luxury bath bombs gift set 12-pack,Beauty|Wellness,beauty|bath|relaxation|self-care|thank-you,18,32,,,US,true
prod-111,Face Mask Set,Korean sheet masks variety pack,Beauty|Wellness,beauty|skincare|self-care|spa|birthday,15,28,,,US,true
prod-112,Guitar Capo,Professional guitar capo with tuner,Music,music|guitar|musician|hobby|birthday,12,22,,,US,true
prod-113,Music Stand,Portable folding music sheet stand,Music,music|musician|practice|student,15,30,,,US,true
prod-114,Record Player,Vintage style turntable record player,Music|Electronics,music|vinyl|retro|home|25-34|35-44|birthday,80,180,,,US,true
prod-115,Vinyl Records,Classic album vinyl record,Music,music|vinyl|retro|collector|birthday,15,35,,,US,true
prod-116,Instrument Case,Padded gig bag for guitar or keyboard,Music|Travel,music|musician|travel|protection,30,60,,,US,true
prod-117,Puzzle 1000 Pieces,Scenic landscape jigsaw puzzle,Games|Gifts,puzzle|hobby|relaxation|family|35-44|45-54,12,25,,,US,true
prod-118,Board Game,Strategy or party board game,Games|Gifts,games|party|family|fun|birthday|friend,20,50,,,US,true
prod-119,Playing Cards,Luxury playing cards deck,Games|Gifts,cards|games|magic|gift|birthday,10,20,,,US,true
prod-120,Chess Set,Wooden chess set with folding board,Games,chess|strategy|games|gift|25-34|35-44,25,60,,,US,true
prod-121,Terrarium Kit,DIY glass terrarium with succulent plants,Home|Garden|Creative,plants|DIY|home|creative|housewarming,25,45,,,US,true
prod-122,Budget Water Bottle,BPA-free plastic water bottle 32oz,Fitness,fitness|hydration|practical|budget,8,12,,,US,true
prod-123,Premium Insulated Bottle,Double-wall vacuum insulated bottle 40oz,Fitness|Outdoors,fitness|premium|insulated|hydration,35,50,,,US,true
prod-124,School Backpack,Classic school backpack with laptop sleeve,Office|Travel,student|school|practical|18-24,20,35,,,US,true
prod-125,Hiking Backpack 60L,Professional trekking backpack with frame,Outdoors|Travel,hiking|camping|adventure|premium,90,150,,,US,true
prod-126,Pour Over Coffee Set,Manual pour over coffee maker kit,Cooking|Home,coffee|manual|brewing|coffee lover,20,35,,,US,true
prod-127,Automatic Coffee Maker,12-cup programmable drip coffee maker,Cooking|Electronics,coffee|automatic|kitchen|housewarming,40,80,,,US,true
